loan_id,member_id,loan_type,original_amount,interest_rate,term_months,origination_date,loan_status
LN-0000664,MBR-000873,Auto Loan,23884.88,15.13,60,2022-02-14,Default
LN-0000665,MBR-000012,Student Loan,48394.58,17.58,180,2021-09-01,Current
LN-0000666,MBR-000112,Credit Card,11605.78,14.39,0,2023-07-10,Current
LN-0000667,MBR-000903,Mortgage,159739.02,6.08,240,2019-07-22,Current
LN-0000668,MBR-000761,Student Loan,18953.48,14.92,180,2023-07-15,Current
LN-0000669,MBR-000013,Auto Loan,27658.67,10.64,72,2019-07-15,Current
LN-0000670,MBR-000940,Auto Loan,21120.16,12.36,48,2019-01-19,Current
LN-0000671,MBR-000295,Credit Card,3299.48,12.85,0,2018-08-18,Paid Off
LN-0000672,MBR-000809,Personal Loan,19382.5,9.96,48,2020-03-18,Current
LN-0000673,MBR-001066,Personal Loan,1104.26,4.48,24,2019-09-13,Current
LN-0000674,MBR-001061,Auto Loan,60332.03,5.33,60,2024-02-03,Current
LN-0000675,MBR-001181,Personal Loan,23727.92,10.89,48,2023-08-05,Delinquent
LN-0000676,MBR-000688,Mortgage,173681.99,7.13,240,2024-09-21,Current
LN-0000677,MBR-001164,Home Equity,22019.81,16.07,60,2020-12-07,Current
LN-0000678,MBR-000441,Personal Loan,20796.88,17.55,12,2018-11-14,Current
LN-0000679,MBR-001087,Home Equity,135767.88,12.81,180,2018-07-19,Current
LN-0000680,MBR-000074,Auto Loan,44369.27,4.39,36,2021-01-18,Current
LN-0000681,MBR-000156,Home Equity,127541.11,6.27,180,2019-02-27,Current
LN-0000682,MBR-000722,Mortgage,152921.45,5.81,180,2019-02-27,Paid Off
LN-0000683,MBR-000226,Personal Loan,20575.4,11.46,12,2019-01-09,Paid Off
LN-0000684,MBR-000211,Personal Loan,15551.42,13.56,24,2023-06-05,Delinquent
LN-0000685,MBR-000798,Personal Loan,20172.0,17.68,12,2018-12-15,Current
LN-0000686,MBR-001187,Home Equity,85377.7,13.13,60,2022-08-23,Current
LN-0000687,MBR-000682,Student Loan,45223.23,8.94,180,2021-12-31,Current
LN-0000688,MBR-000308,Mortgage,171358.08,7.28,180,2024-06-27,Delinquent
LN-0000689,MBR-000795,Personal Loan,4408.63,10.29,48,2021-10-04,Current
LN-0000690,MBR-000872,Personal Loan,12637.06,16.1,12,2020-04-09,Current
LN-0000691,MBR-000947,Auto Loan,50975.14,9.73,48,2020-11-10,Current
LN-0000692,MBR-000338,Personal Loan,21994.91,8.87,36,2022-10-13,Current
LN-0000693,MBR-000391,Student Loan,5574.06,16.78,180,2019-05-28,Paid Off
LN-0000694,MBR-000459,Mortgage,344559.1,3.75,240,2023-05-01,Current
LN-0000695,MBR-001027,Auto Loan,26185.25,13.55,72,2023-08-27,Paid Off
LN-0000696,MBR-000907,Student Loan,15982.01,4.2,120,2021-02-15,Current
LN-0000697,MBR-000107,Personal Loan,16807.52,15.81,48,2023-04-08,Current
LN-0000698,MBR-000875,Student Loan,55839.18,11.95,180,2019-03-20,Current
LN-0000699,MBR-000825,Credit Card,6397.43,4.09,0,2023-11-17,Default
LN-0000700,MBR-000751,Auto Loan,61361.64,15.67,48,2022-04-05,Delinquent
LN-0000701,MBR-000374,Auto Loan,13029.88,4.6,60,2020-09-25,Paid Off
LN-0000702,MBR-000583,Personal Loan,6837.92,4.23,12,2021-10-02,Current
LN-0000703,MBR-000674,Auto Loan,48019.64,4.14,72,2019-09-13,Current
LN-0000704,MBR-001148,Mortgage,157305.92,4.18,240,2021-10-09,Current
LN-0000705,MBR-000653,Auto Loan,36522.44,6.5,72,2019-01-01,Current
LN-0000706,MBR-000187,Credit Card,6073.86,17.57,0,2022-05-06,Default
LN-0000707,MBR-000426,Auto Loan,64710.13,10.68,48,2022-07-28,Current
LN-0000708,MBR-001104,Personal Loan,21599.47,12.09,24,2023-08-03,Delinquent
LN-0000709,MBR-000290,Auto Loan,30294.01,4.22,60,2022-03-25,Delinquent
LN-0000710,MBR-000693,Auto Loan,54962.39,10.68,36,2022-06-30,Paid Off
LN-0000711,MBR-000406,Student Loan,29020.12,9.6,240,2020-06-08,Current
LN-0000712,MBR-000027,Auto Loan,11318.11,13.97,36,2023-11-26,Delinquent
LN-0000713,MBR-000234,Home Equity,124288.21,7.99,180,2018-07-03,Current
LN-0000714,MBR-000571,Auto Loan,38994.04,17.18,48,2018-07-27,Current
LN-0000715,MBR-000909,Personal Loan,3124.49,14.67,48,2019-11-29,Current
LN-0000716,MBR-000288,Student Loan,55578.43,9.72,120,2021-11-29,Default
LN-0000717,MBR-000526,Credit Card,12778.66,16.14,0,2018-10-29,Paid Off
LN-0000718,MBR-001124,Student Loan,55575.74,14.25,120,2022-11-08,Current
LN-0000719,MBR-000286,Auto Loan,41318.18,5.31,60,2019-07-28,Delinquent
LN-0000720,MBR-000730,Mortgage,360263.2,3.47,240,2022-10-16,Current
LN-0000721,MBR-000257,Home Equity,88263.53,17.39,120,2020-08-25,Current
LN-0000722,MBR-000180,Home Equity,68529.16,14.75,180,2019-10-24,Current
LN-0000723,MBR-000886,Personal Loan,13353.36,13.52,12,2024-05-23,Delinquent
LN-0000724,MBR-000810,student loan,29364.85,6.22,240,2024-10-02,Delinquent
LN-0000725,MBR-000597,Mortgage,169479.87,4.43,360,2019-03-11,Current
LN-0000726,MBR-000889,Personal Loan,15478.28,10.69,36,2018-04-13,Current
LN-0000727,MBR-001090,Auto Loan,9671.6,4.55,60,2019-05-27,Delinquent
LN-0000728,MBR-000989,Mortgage,149734.27,3.31,180,2024-08-14,Paid Off
LN-0000729,MBR-000191,Mortgage,243318.44,5.92,240,2023-11-23,Current
LN-0000730,MBR-000009,Home Equity,39790.82,7.41,180,2020-01-12,Current
LN-0000731,MBR-000949,Student Loan,51984.45,12.82,120,2024-08-12,Current
LN-0000732,MBR-000028,Auto Loan,36909.02,15.62,36,2023-07-14,Current
LN-0000733,MBR-000706,Auto Loan,18326.01,6.79,48,2022-07-30,Current
LN-0000734,MBR-000345,Credit Card,697.78,17.31,0,2018-03-23,Paid Off
LN-0000735,MBR-000868,Auto Loan,47999.69,11.83,60,2020-09-06,Current
LN-0000736,MBR-000669,Personal Loan,19765.47,4.83,36,2021-06-03,Current
LN-0000737,MBR-001016,Auto Loan,49060.58,11.37,72,2020-05-03,Current
LN-0000738,MBR-000677,Home Equity,52892.8,13.0,180,2024-01-07,Delinquent
LN-0000739,MBR-000549,Mortgage,371023.09,5.53,180,2021-12-17,Delinquent
LN-0000740,MBR-001013,Auto Loan,63782.33,15.53,60,2020-09-11,Current
LN-0000741,MBR-001075,Personal Loan,23183.48,16.57,36,2020-09-25,Current
LN-0000742,MBR-001149,Auto Loan,55259.88,7.15,48,2022-10-30,Paid Off
LN-0000743,MBR-000049,Credit Card,11961.46,8.13,0,2022-01-19,Paid Off
LN-0000744,MBR-000950,Auto Loan,54895.71,4.24,48,2021-02-22,Current
LN-0000745,MBR-000094,Home Equity,75322.94,16.76,120,2019-08-05,Default
LN-0000746,MBR-000708,Home Equity,145881.66,3.57,180,2018-04-28,Current
LN-0000747,MBR-000726,Auto Loan,15561.35,13.61,36,2021-05-13,Paid Off
LN-0000748,MBR-000639,Auto Loan,20937.62,4.44,72,2024-09-09,Current
LN-0000749,MBR-000459,Credit Card,9496.39,15.57,0,2020-02-10,Current
LN-0000750,MBR-000490,Home Equity,92774.1,7.48,60,2022-07-01,Current
LN-0000751,MBR-000890,Credit Card,6014.41,6.16,0,2019-03-31,Delinquent
LN-0000752,MBR-001135,Home Equity,62263.14,7.74,60,2020-11-29,Current
LN-0000753,MBR-000166,Mortgage,199946.21,3.35,360,2021-05-31,Current
LN-0000754,MBR-000930,Home Equity,139713.85,9.56,120,2020-02-03,Current
LN-0000755,MBR-000513,Personal Loan,24944.5,5.54,12,2021-07-24,Default
LN-0000756,MBR-000342,Credit Card,4231.26,4.97,0,2018-04-28,Current
LN-0000757,MBR-000906,Personal Loan,1338.77,12.51,12,2022-10-03,Current
LN-0000758,MBR-000482,Student Loan,49828.47,17.27,180,2023-07-17,Paid Off
LN-0000759,MBR-001106,Auto Loan,54790.67,16.76,72,2022-12-11,Current
LN-0000760,MBR-000441,Auto Loan,21061.65,14.74,36,2021-06-17,Current
LN-0000761,MBR-000312,Auto Loan,29049.95,15.33,72,2021-05-04,Current
LN-0000762,MBR-000487,Auto Loan,22555.05,10.34,60,2022-12-14,Current
LN-0000763,MBR-000679,Auto Loan,9384.12,7.64,60,2020-03-05,Paid Off
LN-0000764,MBR-000510,Personal Loan,15760.89,6.76,12,2018-06-06,Delinquent
LN-0000765,MBR-000991,Auto Loan,44623.46,8.15,72,2019-08-26,Delinquent
LN-0000766,MBR-000260,Personal Loan,19774.22,8.43,12,2023-01-26,Current
LN-0000767,MBR-000171,Home Equity,113705.83,10.59,180,2019-09-30,Current
LN-0000768,MBR-000155,Credit Card,6918.48,13.35,0,2023-06-06,Current
LN-0000769,MBR-000925,Personal Loan,11609.7,7.73,12,2022-03-09,Default
LN-0000770,MBR-000364,Auto Loan,52238.48,8.97,48,2024-04-14,Current
LN-0000771,MBR-000635,Mortgage,405784.17,3.77,240,2023-08-23,Current
LN-0000772,MBR-000098,Auto Loan,42461.46,13.92,48,2021-01-23,Current
LN-0000773,MBR-000141,Mortgage,347732.51,4.08,240,2024-01-28,Current
LN-0000774,MBR-000271,Personal Loan,2720.1,16.13,36,2019-02-15,Current
LN-0000775,MBR-000328,Auto Loan,13616.78,11.26,48,2022-01-21,Delinquent
LN-0000776,MBR-000158,Credit Card,-10245.72,11.08,0,2020-06-29,Current
LN-0000777,MBR-000177,Mortgage,339523.09,7.46,360,2022-04-08,Current
LN-0000778,MBR-000996,Personal Loan,5420.49,4.12,36,2019-06-15,Current
LN-0000779,MBR-000971,Student Loan,39256.4,9.79,180,2024-04-15,Current
LN-0000780,MBR-000657,Auto Loan,20351.42,3.59,60,2018-11-28,Delinquent
LN-0000781,MBR-000543,Credit Card,4907.02,7.26,0,2022-09-18,Current
LN-0000782,MBR-000236,Mortgage,247802.22,5.24,180,2022-12-04,Current
LN-0000783,MBR-001027,Mortgage,357530.91,6.81,180,2024-07-22,Current
LN-0000784,MBR-000782,Student Loan,38046.45,6.67,120,2022-03-05,Current
LN-0000785,MBR-001075,Personal Loan,7875.89,17.89,24,2019-07-27,Current
LN-0000786,MBR-000780,Student Loan,27644.44,14.92,180,2019-12-22,Current
LN-0000787,MBR-000227,Auto Loan,34053.49,14.8,60,2019-12-15,Current
LN-0000788,MBR-000231,Mortgage,446429.49,6.32,180,2022-08-30,Current
LN-0000789,MBR-001104,Student Loan,34062.44,10.9,180,2018-03-31,Current
LN-0000790,MBR-000058,Auto Loan,20533.69,13.4,48,2022-07-03,Delinquent
LN-0000791,MBR-000371,Home Equity,34570.53,17.35,180,2019-04-11,Delinquent
LN-0000792,MBR-000457,Auto Loan,10489.82,7.33,72,2019-08-18,Current
LN-0000793,MBR-000322,Auto Loan,15072.4,6.29,36,2024-01-07,Current
LN-0000794,MBR-000110,Credit Card,7466.65,13.32,0,2024-06-19,Current
LN-0000795,MBR-000117,Personal Loan,23316.6,5.45,48,2019-05-24,Current
LN-0000796,MBR-000856,Personal Loan,18706.46,11.52,12,2018-02-08,Current
LN-0000797,MBR-000642,Personal Loan,6838.1,17.9,24,2019-01-21,Current
LN-0000798,MBR-000919,Credit Card,11300.27,14.42,0,2022-09-11,Current
LN-0000799,MBR-001039,Auto Loan,40715.65,16.43,36,2022-05-25,Current
LN-0000800,MBR-000425,Mortgage,84798.18,3.35,240,2021-11-26,Current
LN-0000801,MBR-000399,Personal Loan,3892.82,15.64,12,2023-04-10,Current
LN-0000802,MBR-000093,Personal Loan,15449.23,4.32,48,2019-11-01,Current
LN-0000803,MBR-001032,Auto Loan,47606.14,16.61,48,2024-09-14,Paid Off
LN-0000804,MBR-000571,Student Loan,21337.04,12.67,120,2021-08-12,Delinquent
LN-0000805,MBR-000143,Credit Card,10658.18,6.17,0,2020-11-06,Default
LN-0000806,MBR-000218,Credit Card,14876.14,13.75,0,2018-06-02,Current
LN-0000807,MBR-000734,Auto Loan,55014.43,13.99,60,2021-07-27,Current
LN-0000808,MBR-000497,Auto Loan,51993.31,10.32,72,2023-11-06,Delinquent
LN-0000809,MBR-000878,Home Equity,56290.27,16.29,180,2024-01-15,Current
LN-0000810,MBR-000361,Home Equity,77221.8,12.72,60,2021-09-08,Delinquent
LN-0000811,MBR-000132,Auto Loan,19753.16,17.46,72,2020-02-26,Paid Off
LN-0000812,MBR-000981,Home Equity,110392.68,17.63,180,2020-01-09,Current
LN-0000813,MBR-000554,Auto Loan,43153.57,16.25,48,2018-09-09,Current
LN-0000814,MBR-000641,Personal Loan,1345.98,16.43,12,2021-06-23,Current
LN-0000815,MBR-000555,Auto Loan,64159.24,,60,2020-09-29,Delinquent
LN-0000816,MBR-000900,Personal Loan,17837.24,17.1,12,2023-10-10,Current
LN-0000817,MBR-000017,Mortgage,293104.51,3.46,240,2021-12-10,Current
LN-0000818,MBR-000958,Auto Loan,25729.63,12.73,60,2021-08-23,Paid Off
LN-0000819,MBR-000367,Personal Loan,2826.24,16.58,12,2018-04-22,Current
LN-0000820,MBR-001184,Mortgage,144908.5,5.85,180,2020-09-17,Current
LN-0000821,MBR-000868,Mortgage,366886.06,5.56,180,2020-08-07,Current
LN-0000822,MBR-001110,Credit Card,3282.18,13.31,0,2021-06-05,Current
LN-0000823,MBR-000776,Personal Loan,5264.19,14.3,36,2022-08-07,Current
LN-0000824,MBR-000472,Student Loan,24301.57,10.35,120,2023-11-28,Current
LN-0000825,MBR-000891,Credit Card,5748.58,7.68,0,2020-10-17,Delinquent
LN-0000826,MBR-001136,Personal Loan,1499.77,7.4,36,2018-03-30,Current
LN-0000827,MBR-001072,Credit Card,14836.09,12.33,0,2018-02-03,Current
LN-0000828,MBR-000865,Auto Loan,19943.17,12.21,72,2022-07-17,Current
LN-0000829,MBR-000413,Auto Loan,51435.26,15.07,60,2021-01-27,Current
LN-0000830,MBR-000584,Home Equity,97420.28,9.33,120,2023-10-16,Paid Off
LN-0000831,MBR-000529,Personal Loan,10805.99,5.04,12,2022-11-10,Current
LN-0000832,MBR-000169,Auto Loan,62912.32,6.62,60,2023-01-10,Current
LN-0000833,MBR-000668,Auto Loan,27306.27,11.37,72,2018-03-23,Delinquent
LN-0000834,MBR-000371,Auto Loan,47574.77,17.56,60,2022-11-17,Current
LN-0000835,MBR-000570,Personal Loan,22823.95,12.86,48,2022-08-01,Default
LN-0000836,MBR-000637,Auto Loan,55014.97,14.37,60,2019-12-30,Delinquent
LN-0000837,MBR-000344,Credit Card,12122.29,5.3,0,2019-06-17,Current
LN-0000838,MBR-000663,Credit Card,14985.38,9.7,0,2022-03-22,Default
LN-0000839,MBR-000843,Credit Card,4115.84,12.88,0,2022-07-26,Default
LN-0000840,MBR-001049,Personal Loan,1454.69,15.68,12,2018-11-22,Default
LN-0000841,MBR-000683,Auto Loan,53971.21,12.9,36,2021-04-19,Current
LN-0000842,MBR-001003,Personal Loan,13580.34,14.51,12,2020-06-04,Current
LN-0000843,MBR-000866,Auto Loan,25330.54,7.58,60,2022-07-09,Current
LN-0000844,MBR-000477,Auto Loan,12100.54,17.46,48,2020-06-29,Current
LN-0000845,MBR-000098,Personal Loan,6276.18,5.3,48,2021-05-19,Current
LN-0000846,MBR-000847,Credit Card,6127.8,17.18,0,2024-01-14,Current
LN-0000847,MBR-001001,Credit Card,4342.01,10.69,0,2021-01-21,Delinquent
LN-0000848,MBR-000685,Auto Loan,28186.07,6.26,72,2020-11-05,Default
LN-0000849,MBR-000976,Personal Loan,11077.4,10.39,12,2020-12-22,Default
LN-0000850,MBR-000727,Auto Loan,42016.05,8.59,60,2018-12-28,Current
LN-0000851,MBR-000426,Auto Loan,41536.55,14.94,36,2024-05-27,Default
LN-0000852,MBR-000732,Home Equity,35252.04,14.3,180,2020-12-14,Current
LN-0000853,MBR-000866,Personal Loan,9206.96,6.11,24,2019-06-18,Paid Off
LN-0000854,MBR-000028,Credit Card,1033.88,10.26,0,2018-10-15,Current
LN-0000855,MBR-000741,Credit Card,1628.05,12.2,0,2021-07-11,Paid Off
LN-0000856,MBR-001029,Auto Loan,62814.71,14.92,60,2022-07-04,Current
LN-0000857,MBR-000191,Mortgage,362722.47,4.84,240,2018-01-01,Current
LN-0000858,MBR-000786,Mortgage,134486.66,5.76,360,2022-03-08,Delinquent
LN-0000859,MBR-000768,Auto Loan,-44588.52,4.48,48,2020-08-11,Delinquent
LN-0000860,MBR-001017,Personal Loan,7858.54,3.75,36,2023-05-25,Delinquent
LN-0000861,MBR-000138,Auto Loan,28209.54,6.64,36,2023-12-19,Current
LN-0000862,MBR-000499,Auto Loan,41674.5,4.81,72,2023-08-12,Current
LN-0000863,MBR-000263,Auto Loan,26656.92,7.31,36,2018-03-10,Paid Off
LN-0000864,MBR-000463,Credit Card,7472.34,6.77,0,2018-12-03,Current
LN-0000865,MBR-000848,Personal Loan,21809.54,10.71,36,2019-01-27,Current
LN-0000866,MBR-000385,Auto Loan,28254.47,8.92,60,2022-09-10,Delinquent
LN-0000867,MBR-001080,Credit Card,5787.86,5.93,0,2023-06-26,Current
LN-0000868,MBR-000119,Credit Card,8076.46,13.74,0,2019-12-01,Paid Off
LN-0000869,MBR-001063,Credit Card,14608.52,5.1,0,2021-11-14,Delinquent
LN-0000870,MBR-000199,Mortgage,195088.12,6.43,360,2019-01-11,Current
LN-0000871,MBR-000402,Student Loan,9877.3,7.24,180,2020-02-14,Current
LN-0000872,MBR-000322,Auto Loan,42671.17,8.86,72,2020-09-18,Paid Off
LN-0000873,MBR-000209,Auto Loan,37355.59,5.74,48,2021-04-24,Current
LN-0000874,MBR-000511,Auto Loan,58311.27,8.67,48,2018-08-10,Paid Off
LN-0000875,MBR-000630,Auto Loan,33637.47,11.23,36,2018-07-14,Current
LN-0000876,MBR-000621,Home Equity,57236.38,10.12,180,2022-11-06,Current
LN-0000877,MBR-000246,Credit Card,11258.75,6.16,0,2019-08-03,Current
LN-0000878,MBR-000313,Auto Loan,25486.8,4.69,36,2018-04-04,Current
LN-0000879,MBR-000780,Home Equity,27593.27,4.35,180,2023-11-27,Current
LN-0000880,MBR-000253,Personal Loan,4393.49,15.45,24,2019-09-15,Delinquent
LN-0000881,MBR-000824,Auto Loan,52583.34,15.62,72,2019-08-22,Current
LN-0000882,MBR-000177,Home Equity,16501.53,11.75,60,2021-12-11,Current
LN-0000883,MBR-000413,Auto Loan,9738.82,17.42,72,2020-12-30,Current
LN-0000884,MBR-000392,Mortgage,427531.98,3.65,240,2018-12-28,Current
LN-0000885,MBR-001049,Credit Card,12141.21,3.83,0,2023-10-15,Current
LN-0000886,MBR-000356,Credit Card,12560.43,7.3,0,2022-01-08,Default
LN-0000887,MBR-000818,Home Equity,96943.27,8.45,180,2024-07-01,Current
LN-0000888,MBR-001197,Mortgage,241191.09,7.33,240,2020-04-16,Current
LN-0000889,MBR-000884,Credit Card,3698.08,11.6,0,2022-04-10,Current
LN-0000890,MBR-000487,Auto Loan,30193.11,17.41,72,2019-06-09,Paid Off
LN-0000891,MBR-000201,Credit Card,13087.97,11.56,0,2021-02-18,Current
LN-0000892,MBR-000164,Credit Card,9423.28,6.61,0,2020-04-29,Current
LN-0000893,MBR-001068,Mortgage,446421.52,4.45,180,2024-04-13,Current
LN-0000894,MBR-000250,Auto Loan,54106.11,14.1,60,2020-08-13,Current
LN-0000895,MBR-000191,Student Loan,35662.95,6.62,120,2024-04-30,Current
LN-0000896,MBR-000017,Credit Card,4209.79,10.9,0,2023-12-06,Delinquent
LN-0000897,MBR-000306,Mortgage,141715.63,6.48,360,2023-12-31,Delinquent
LN-0000898,MBR-001099,Student Loan,62010.24,5.11,120,2019-09-24,Current
LN-0000899,MBR-000703,Personal Loan,18459.83,13.38,48,2023-06-10,Paid Off
LN-0000900,MBR-000818,Auto Loan,53697.48,6.67,60,2021-02-23,Current
LN-0000901,MBR-000474,Personal Loan,5815.99,17.1,36,2021-11-12,Delinquent
LN-0000902,MBR-001031,Home Equity,80953.54,11.29,120,2021-02-06,Current
LN-0000903,MBR-001079,Personal Loan,22295.74,16.96,48,2022-12-23,Current
LN-0000904,MBR-001010,Personal Loan,9031.48,7.39,48,2021-12-27,Delinquent
LN-0000905,MBR-000637,Credit Card,-9364.97,9.89,0,2020-08-31,Paid Off
LN-0000906,MBR-000424,Personal Loan,13103.6,6.16,12,2022-06-11,Delinquent
LN-0000907,MBR-001179,Personal Loan,16343.23,6.0,36,2019-08-16,Current
LN-0000908,MBR-000626,Credit Card,9202.93,10.45,0,2024-03-16,Current
LN-0000909,MBR-000101,Student Loan,65334.83,16.18,120,2021-01-29,Current
LN-0000910,MBR-000148,Credit Card,5337.84,6.68,0,2022-03-15,Delinquent
LN-0000911,MBR-000214,Student Loan,29472.2,7.45,120,2021-11-14,Current
LN-0000912,MBR-000896,Personal Loan,7415.76,14.34,48,2019-07-19,Current
LN-0000913,MBR-000613,Mortgage,103297.61,5.7,180,2023-12-14,Delinquent
LN-0000914,MBR-000315,Credit Card,5784.25,4.12,0,2022-01-03,Paid Off
LN-0000915,MBR-000446,Mortgage,398531.29,6.03,240,2021-10-25,Default
LN-0000916,MBR-000374,personal loan,6221.06,12.31,48,2023-05-11,Current
LN-0000917,MBR-001150,Mortgage,387912.35,6.74,240,2018-12-03,Delinquent
LN-0000918,MBR-001034,Auto Loan,35546.65,8.87,48,2024-06-03,Delinquent
LN-0000919,MBR-000339,Personal Loan,17132.42,9.73,36,2024-01-27,Current
LN-0000920,MBR-000689,Home Equity,79242.28,9.88,120,2021-12-06,Current
LN-0000921,MBR-000741,Personal Loan,18406.82,7.32,24,2021-06-07,Current
LN-0000922,MBR-000209,Personal Loan,10852.65,11.67,24,2018-01-11,Default
LN-0000923,MBR-000998,Personal Loan,23787.08,6.99,12,2021-11-17,Current
LN-0000924,MBR-000098,Auto Loan,62135.56,12.83,72,2023-02-07,Default
LN-0000925,MBR-000147,Credit Card,10059.32,13.57,0,2019-07-01,Current
LN-0000926,MBR-000822,Auto Loan,20725.29,7.42,72,2021-06-19,Current
LN-0000927,MBR-000439,Mortgage,196207.31,4.07,180,2024-01-07,Current
LN-0000928,MBR-001193,Credit Card,12631.79,10.55,0,2023-06-22,Current
LN-0000929,MBR-000319,Credit Card,13694.25,14.71,0,2019-04-27,Delinquent
LN-0000930,MBR-000619,Personal Loan,8213.99,10.24,36,2022-06-29,Delinquent
LN-0000931,MBR-000522,Home Equity,81514.51,12.05,180,2020-10-02,Paid Off
LN-0000932,MBR-000697,Student Loan,43865.12,6.64,180,2022-03-08,Delinquent
LN-0000933,MBR-000796,Auto Loan,12436.49,8.55,36,2018-06-11,Delinquent
LN-0000934,MBR-001174,Credit Card,4410.8,3.98,0,2024-09-12,Current
LN-0000935,MBR-000320,Auto Loan,53493.21,11.89,48,2024-03-01,Delinquent
LN-0000936,MBR-000512,Personal Loan,5750.6,9.71,24,2022-02-16,Default
LN-0000937,MBR-000094,Personal Loan,11906.91,5.43,24,2021-01-11,Delinquent
LN-0000938,MBR-000219,Credit Card,9375.33,4.58,0,2018-07-13,Current
LN-0000939,MBR-000635,Student Loan,22003.32,9.38,240,2020-07-10,Current
LN-0000940,MBR-000129,Student Loan,25102.26,17.47,120,2018-02-15,Delinquent
LN-0000941,MBR-000746,Credit Card,6835.82,8.79,0,2022-05-16,Delinquent
LN-0000942,MBR-000851,Auto Loan,49579.21,15.24,60,2018-10-07,Current
LN-0000943,MBR-001195,Auto Loan,54184.13,13.25,48,2019-11-12,Current
LN-0000944,MBR-000774,Auto Loan,14167.71,10.59,48,2021-09-26,Delinquent
LN-0000945,MBR-000653,Personal Loan,7338.54,12.62,48,2022-03-05,Delinquent
LN-0000946,MBR-000587,Student Loan,13203.16,4.91,240,2023-12-21,Delinquent
LN-0000947,MBR-000783,Student Loan,19068.52,17.51,240,2021-10-16,Current
LN-0000948,MBR-000206,Home Equity,44212.35,15.64,180,2022-10-23,Current
LN-0000949,MBR-001018,Student Loan,24512.81,13.23,120,2018-04-25,Paid Off
LN-0000950,MBR-000663,Auto Loan,11400.91,4.91,48,2022-12-20,Current
LN-0000951,MBR-001041,Personal Loan,19665.06,16.84,48,2023-06-01,Current
LN-0000952,MBR-000990,Personal Loan,24311.78,,48,2022-03-26,Current
LN-0000953,MBR-000989,Home Equity,23866.86,9.53,60,2023-08-06,Current
LN-0000954,MBR-001149,Auto Loan,25088.85,10.76,48,2018-07-03,Current
LN-0000955,MBR-000673,Credit Card,4222.19,9.73,0,2019-03-24,Current
LN-0000956,MBR-000473,Mortgage,87560.27,6.53,240,2024-05-20,Current
LN-0000957,MBR-000032,Auto Loan,15449.24,15.31,36,2024-09-07,Current
LN-0000958,MBR-000766,Mortgage,116941.19,,360,2019-08-06,Current
LN-0000959,MBR-000242,Student Loan,74170.51,4.47,120,2022-06-19,Delinquent
LN-0000960,MBR-000008,Auto Loan,14445.65,11.79,36,2024-03-04,Delinquent
LN-0000961,MBR-000290,Credit Card,13956.82,6.86,0,2024-02-12,Current
LN-0000962,MBR-000170,Auto Loan,28639.0,6.97,60,2018-12-12,Current
LN-0000963,MBR-000707,Auto Loan,57936.66,14.15,60,2018-07-12,Paid Off
LN-0000964,MBR-000388,Auto Loan,26833.89,10.94,72,2024-05-08,Current
LN-0000965,MBR-000930,Auto Loan,60949.98,4.68,72,2018-04-20,Current
LN-0000966,MBR-001174,Personal Loan,4109.67,16.7,48,2018-01-20,Current
LN-0000967,MBR-001138,Mortgage,157268.54,5.02,360,2020-11-26,Current
LN-0000968,MBR-000952,Credit Card,6815.96,4.38,0,2021-02-20,Current
LN-0000969,MBR-000932,Home Equity,105220.02,6.88,60,2023-04-20,Delinquent
LN-0000970,MBR-000861,Home Equity,112545.92,10.04,120,2020-12-17,Paid Off
LN-0000971,MBR-000576,Credit Card,12952.39,12.01,0,2020-06-08,Default
LN-0000972,MBR-000699,Credit Card,2851.87,4.25,0,2024-07-02,Delinquent
LN-0000973,MBR-000216,Auto Loan,35594.66,17.9,72,2022-05-26,Current
LN-0000974,MBR-000857,Personal Loan,4596.59,11.7,48,2019-09-14,Current
LN-0000975,MBR-000550,Student Loan,56022.52,14.49,240,2018-02-12,Current
LN-0000976,MBR-000715,Home Equity,16540.05,9.79,180,2024-08-14,Delinquent
LN-0000977,MBR-000836,Auto Loan,37605.97,17.01,72,2018-05-19,Current
LN-0000978,MBR-000900,Mortgage,253303.33,6.41,180,2024-05-21,Current
LN-0000979,MBR-000960,Mortgage,405356.44,6.64,240,2018-10-13,Delinquent
LN-0000980,MBR-000733,Auto Loan,39572.22,9.58,48,2018-05-14,Current
LN-0000981,MBR-000414,Auto Loan,18977.76,17.15,48,2018-08-01,Delinquent
LN-0000982,MBR-000574,Personal Loan,19899.95,15.31,12,2022-03-28,Current
LN-0000983,MBR-000005,Personal Loan,9250.96,5.39,36,2022-11-28,Current
LN-0000984,MBR-000186,Auto Loan,27587.17,10.49,36,2018-05-16,Delinquent
LN-0000985,MBR-001139,Personal Loan,13760.99,14.81,36,2020-10-02,Current
LN-0000986,MBR-001066,Credit Card,-4210.91,8.75,0,2019-08-10,Current
LN-0000987,MBR-000620,Student Loan,32387.26,15.11,180,2024-04-01,Default
LN-0000988,MBR-000915,Mortgage,90142.82,3.81,180,2024-08-14,Paid Off
LN-0000989,MBR-000985,Auto Loan,59262.01,12.51,60,2024-04-13,Current
LN-0000990,MBR-001182,Home Equity,87892.65,10.34,180,2023-06-06,Current
LN-0000991,MBR-000157,Auto Loan,16977.81,7.99,60,2022-08-02,Current
LN-0000992,MBR-000804,Personal Loan,3756.53,3.62,24,2020-01-19,Current
